,regularizer1,regularizer2,epochs,price_r_score,return_r_score,price_mse,return_mse
153,0.01,0.1,250.0,0.876454832297967,-0.028617138606444437,2.8829003052173437e-06,2.2281168332202386e-06
154,0.01,0.3,250.0,0.9846305717737359,-0.2724794321500186,3.1681992369596016e-07,2.992006275551468e-07
155,0.01,0.5,250.0,0.993046584298343,-0.5830654827497457,1.4275128460325557e-07,1.6975104155902654e-07
156,0.05,0.0,250.0,0.7941537247579434,-0.02358263129278071,5.2904342422688335e-06,4.027358830616129e-06
157,0.05,0.01,250.0,0.815645005755495,-0.022311005091697034,4.622820632717007e-06,3.5391760465864607e-06
158,0.05,0.05,250.0,0.8994498075376934,-0.052128217208180505,2.279690665714406e-06,1.8025572293503134e-06
159,0.05,0.1,250.0,0.9713374563655623,-0.11249164691708735,5.998338964260067e-07,5.027841299035482e-07
160,0.05,0.3,250.0,0.9845811526735835,-0.24242811776674023,3.183095477222508e-07,2.9763711240137616e-07
161,0.05,0.5,250.0,0.9872180463490484,-0.3401040512773037,2.642793918503993e-07,2.614690529998271e-07
162,0.1,0.0,250.0,0.8121224754019463,-0.01595358928537749,4.761217665979473e-06,3.632616312042436e-06
163,0.1,0.01,250.0,0.7376686116912345,-0.014152901223663195,7.199373988183794e-06,5.4955036621831845e-06
164,0.1,0.05,250.0,0.9432169056707317,-0.08525797933677381,1.2169298095568515e-06,9.89223825392014e-07
165,0.1,0.1,250.0,0.97790861026871,-0.19033500918650348,4.5966085083401774e-07,4.098514657285426e-07
166,0.1,0.3,250.0,0.9872932286894383,-0.3257156249707094,2.628767869867748e-07,2.62594753568949e-07
167,0.1,0.5,250.0,0.9985385589335349,-4.384703141728642,2.9785047308322885e-08,8.386681442401428e-08
168,0.3,0.0,250.0,0.9419849166656677,-0.06897690329586537,1.2448291056977427e-06,9.973058827522452e-07
169,0.3,0.01,250.0,0.9744769581978622,-0.1635702842750395,5.341258427888825e-07,4.6830202385241945e-07
170,0.3,0.05,250.0,0.9494785894118748,-0.07154502841314914,1.0776102617064586e-06,8.68592693938976e-07
171,0.3,0.1,250.0,0.9927234867937068,-0.5120254943019835,1.4916761045751592e-07,1.705246970953877e-07
172,0.3,0.3,250.0,0.9955903295490475,-0.9312025281625314,9.026725278671601e-08,1.286543509059224e-07
173,0.3,0.5,250.0,0.9985069443068284,-3.0295660129512862,3.047530445982087e-08,8.467097427028033e-08
174,0.5,0.0,250.0,0.9878541441512206,-0.3053514150756913,2.500124926021326e-07,2.461154746468543e-07
175,0.5,0.01,250.0,0.9912386483419346,-0.4786012565587887,1.803996294982078e-07,1.974154615385872e-07
176,0.5,0.05,250.0,0.996587674215425,-1.2839868322816894,6.966466780483374e-08,1.1157659860010644e-07
177,0.5,0.1,250.0,0.9985865046900104,-2.977265873186716,2.8838839026057975e-08,8.393454110091068e-08
178,0.5,0.3,250.0,0.9988695378921942,-4.047339258911983,2.3037554328582193e-08,7.799325604723785e-08
179,0.5,0.5,250.0,0.9990806525886338,-5.5626533415199635,1.8735201714468155e-08,7.434111235521793e-08
180,0.0,0.0,300.0,0.564996614903396,-0.0032729974587621946,1.5487705077116872e-05,1.1675121589409776e-05
181,0.0,0.01,300.0,0.6049754312926765,-0.012597362533724565,1.374514463722429e-05,1.053026508111056e-05
182,0.0,0.05,300.0,0.5820851051571241,-0.006777436391567582,1.4561062560135335e-05,1.1008727412119372e-05
183,0.0,0.1,300.0,0.8670179401865447,-0.029107648557296972,3.1011678235030964e-06,2.3977125436888493e-06
184,0.0,0.3,300.0,0.9593653527709396,-0.09228083384232155,8.644389580320599e-07,7.068945796822455e-07
185,0.0,0.5,300.0,0.9814560665159934,-0.22276835674838047,3.853283629090318e-07,3.51141726298966e-07
186,0.01,0.0,300.0,0.6424016448032717,-0.005765773291882992,1.1348253418476852e-05,8.623620905642816e-06
187,0.01,0.01,300.0,0.9181809772848328,-0.0455273231883464,1.8141398355917157e-06,1.4241600624434432e-06
188,0.01,0.05,300.0,0.8497207232447379,-0.02603148507564934,3.6463322378891526e-06,2.827269658193078e-06
189,0.01,0.1,300.0,0.9558938137431602,-0.17011274884900596,9.361824188984979e-07,7.748751713594324e-07
190,0.01,0.3,300.0,0.9899457606208808,-0.3957187062428351,2.0648456021626896e-07,2.1604314377884707e-07
191,0.01,0.5,300.0,0.9968790078768807,-1.2480215100376806,6.37217910057318e-08,1.0816162515872645e-07
192,0.05,0.0,300.0,0.6392688377501621,-0.006191412056447021,1.1527534719834264e-05,8.667417349033874e-06
193,0.05,0.01,300.0,0.8825261842257344,-0.03658968159138354,2.718756865864521e-06,2.120275525098196e-06
194,0.05,0.05,300.0,0.811952718497555,-0.010257620998909589,4.722585011633788e-06,3.583354974099178e-06
195,0.05,0.1,300.0,0.8997180312143355,-0.04193024401140644,2.277660329992391e-06,1.78742345796404e-06
196,0.05,0.3,300.0,0.9854566816890032,-0.2766316577910788,3.005642472548472e-07,2.864112097635332e-07
197,0.05,0.5,300.0,0.9952104445792875,-0.9534535921693459,9.815045489601817e-08,1.3766218157177527e-07
198,0.1,0.0,300.0,0.8066624153221393,-0.017853240725645314,4.821210722884575e-06,3.6832896991093888e-06
199,0.1,0.01,300.0,0.7902679146675364,-0.01205781138374773,5.387866027493552e-06,4.124500640874813e-06
200,0.1,0.05,300.0,0.8835899439594028,-0.028901427499870458,2.668191697719157e-06,2.0639471775279812e-06
201,0.1,0.1,300.0,0.9726905142647555,-0.15099175099824813,5.718833819045482e-07,4.910436628269209e-07
202,0.1,0.3,300.0,0.9891808089640783,-0.3548306201548317,2.2279341159770426e-07,2.26144201790634e-07
203,0.1,0.5,300.0,0.9921830985241927,-0.4980650679399483,1.6088623940254515e-07,1.8121228522574119e-07
204,0.3,0.0,300.0,0.9890477141124709,-0.3602263440772864,2.2532738043073456e-07,2.3114127795636514e-07
205,0.3,0.01,300.0,0.9396882421105989,-0.05154455507772293,1.3140904754780884e-06,1.0381200520039615e-06
206,0.3,0.05,300.0,0.9815737447351455,-0.20816493861057062,3.809297920739861e-07,3.4649924943096175e-07
207,0.3,0.1,300.0,0.9891019355451646,-0.3456703055292407,2.2448238155115933e-07,2.2589789933063474e-07
208,0.3,0.3,300.0,0.9948789333583579,-0.769501019066497,1.049272675172421e-07,1.3997909409799722e-07
209,0.3,0.5,300.0,0.999253102099325,-5.574720663739456,1.5223057449578657e-08,7.112920529613049e-08
210,0.5,0.0,300.0,0.9895823066113547,-0.3852629176760929,2.1439842611561957e-07,2.2227403117467357e-07
211,0.5,0.01,300.0,0.9957181693895961,-0.903491109890534,8.756795356845401e-08,1.256981879585241e-07
212,0.5,0.05,300.0,0.9993991433652869,-6.533658796236026,1.2243647450510415e-08,6.951283568850686e-08
213,0.5,0.1,300.0,0.9977267309669697,-2.0591519687531914,4.635926037663818e-08,9.630004476165062e-08
214,0.5,0.3,300.0,0.9980455969538582,-2.3271784975162353,3.991151618502554e-08,9.215365573583494e-08
215,0.5,0.5,300.0,0.9989492767587003,-3.788829462123198,2.1420657390860323e-08,7.739061049023777e-08
